day,content,speaker
1,"Perform all work carefully, guided by compassion","Ved Vyasa"
2,"The remedy for weakness is not brooding over weakness, but thinking of strength.","Swami Vivekananda"
3,"I attribute my success to this: I never gave or took any excuse.","Florence Nightingale"
4,"Life isn't about getting and having, it's about giving and being.","Kevin Kruse"
5,"The mind is everything. What you think you become.","Buddha"
6,"The best time to plant a tree was 20 years ago. The second best time is now.","Chinese Proverb"
7,"Either you run the day, or the day runs you.","Jim Rohn"
8,"People often say that motivation doesn’t last. Well, neither does bathing.  That’s why we recommend it daily.","Zig Ziglar"
9,"There is only one way to avoid criticism: do nothing, say nothing, and be nothing.","Aristotle"
10,"Everything has beauty, but not everyone can see.","Confucius"
11,"If the wind will not serve, take to the oars.","Latin Proverb"
12,"I have been impressed with the urgency of doing. Knowing is not enough we must apply. Being willing is not enough we must apply. Being willing is not enough","Leonardo da Vinci"
13," There are no traffic jams along the extra mile.","Roger Staubach"
14,"You become what you believe.","Oprah Winfrey"
15,"A truly rich man is one whose children run into his arms when his hands are empty.","Unknown"
16,"Education is the manifestation of perfection present already in man. Divinity is the manifestation of religion already in man.","Swami Vivekananda"
17,"Real knowledge is to know the extent of one's ignorance.","Confucious"
18,"To other countries, I may go as a tourist, but to India, I come as a pilgrim.","Martin Luther King, Jr."
19,"The tree laden with fruits always bends low. If you wish to be great, be lowly and meek.","Sri Ramakrishna Paramahamsa"
20,"We are what our thoughts have made us so take care about what you think. Words are secondary. Thoughts live, they travel far","Swami Vivekananda"
21,"To succeed in your mission, you must have single-minded devotion to your goal.","Abdul Kalam"
22,"Do not say, ‘It is morning,’ and dismiss it with a name of yesterday. See it for the first time as a newborn child that has no name.","Rabindranath Tagore"
23,"Education is the manifestation of perfection already in a man.","Swami Vivekananda"
24,"Talk to yourself at least once in a Day… Otherwise you may miss a meeting with an EXCELLENT person in this World…","Swami Vivekananda"
25,"Every idea that strengthens you must be taken up and every thought that weakens you must be rejected.","Swami Vivekananda"
